NAME, Forward acc(feet/s), Ang. acc(Rot), Lat. acc(feet/s), RPM
0 sec,  0, 0,0,1000
10 sec, 10,4,0,1400
20 sec, 20,4,0,1700
30 sec, 40,9,10,2000
40 sec, 80,2,30,3000
50 sec, 85,2,50,3000
60 sec, 90,30,60,3000
70 sec, 86,33,70,3000
80 sec, 50,36,50,2600
90 sec, 45,38,30,2200
100 sec, 25,40,10,2000
110 sec, 0,28,10,1400
120 sec, -10,22,20,1400
130 sec, -25,10,40,1500
140 sec, -35,4,50,1600
150 sec, -45,4,52,2300
160 sec, -85,2,34,2600
170 sec, -80,0,10,2600
180 sec, -70,-20,0,2500
190 sec, -55,-30,-20,2000
200 sec, -25,-45,-40,1600
210 sec, -10,-50,-60,1700
220 sec,  4,-46,-62,1500
230 sec, 25,-20,-58,1200
240 sec, 35,-19,-20,1100
250 sec, 55,-12,-10,1200
260 sec, 75,-10,0, 1300
270 sec, 85,-9,10,1320
280 sec, 83,-9,20,1300
290 sec, 80,-9,30,1200



